,rank,title,artist,other artists,year,Spotify id,Popularity
228,29,Sealed with a Kiss,Brian Hyland,None,1962,6oM4ryXpuZmbFfBv2sEe7v,55
229,30,She Cried,Jay,the Americans,1962,30vrWTWGHRF6mbyCiDMamO,32
230,31,Don't Break the Heart That Loves You,Connie Francis,None,1962,15e7F6w10JTcuRcuR27QlG,30
231,32,Dear Lady Twist,Gary U.S. Bonds,None,1962,248Jb9TGzk3Rk0OaNtUGol,14
232,33,Norman,Sue Thompson,None,1962,2Af6yE62PwymxZV0962qul,25
233,34,Love Letters,Ketty Lester,None,1962,1cve4tX1mLZkqA5c6Wf6t4,1
234,35,Party Lights,Claudine Clark,None,1962,0Kb1OykZK7OYNqQ58KZ0rj,28
235,36,Cotton Fields,The Highwaymen,None,1962,5pgq6Pzyr8iF2Rs7vzC1nd,5
236,37,Alley Cat,Bent Fabric,None,1962,10SOGyug8Cv35dcrByAD68,31
237,38,Twist and Shout,The Isley Brothers,None,1962,0URp9jOJtiWKR1AfMGH2Qj,58
238,39,Theme from Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain,None,1962,0PfEuXdMQIMgUpbWZcMWd0,18
239,40,Tuff,Ace Cannon,None,1962,6nPFRCNTVxvLbhdUZjahXU,21
240,41,Lover Please,Clyde McPhatter,None,1962,6xAKCAHwaAvw9rlwAv3lkD,40
241,42,I Know (You Don't Love Me No More),Barbara George,None,1962,4IZBzpxPNFmKP7I6D3qVH6,26
242,43,Young World,Ricky Nelson,None,1962,1Ibjmb8gV1RERi8GNUBGi1,28
243,44,Baby It's You,The Shirelles,None,1962,52wBOrIX3kkNe1KEALXOGy,46
244,45,Speedy Gonzales,Pat Boone,None,1962,3TmnUIbelFiDzrhZqavHU0,54
245,46,A Little Bitty Tear,Burl Ives,None,1962,3XhTHMleuyoQCP8jxOeIhD,26
246,47,Crying in the Rain,The Everly Brothers,None,1962,3lWuagNhAzcqOikD5KnBku,58
247,48,Al di lÃ ,Emilio Pericoli,None,1962,2EFuKrTmy6wCB9C7Bvyyia,41
248,49,Shout! Shout! (Knock Yourself Out),Ernie Maresca,None,1962,5x6EGByCHCfGtVCwg1Z1PG,41
249,50,What's Your Name,Don,Juan,1962,3gzbPqfjQKHTUm18u71cIt,41
250,51,Smoky Places,The Corsairs,None,1962,75ZlvRqeFQy02VFklspFdK,21
251,52,Having a Party,Sam Cooke,None,1962,1VbD7IkGVqi8VOksRBwrC0,44
252,53,Green Onions,Booker T.,the M.G.'s,1962,4fQMGlCawbTkH9yPPZ49kP,69
253,54,You Don't Know Me,Ray Charles,None,1962,6LahUh0U4umx6hDFfVWlGi,51
254,55,Sherry,The Four Seasons,None,1962,7sqK6f8dHVx3Q1GjFrVyGl,61
255,56,Johnny Get Angry,Joanie Sommers,None,1962,1eBR9MdLUnRJRoNa3cpC92,35
256,57,Can't Help Falling in Love,Elvis Presley,None,1962,0ghQkNDYLSl4GsqfkjTjWx,9
257,58,Shout,Joey Dee,the Starliters,1962,1oNPWwxO8LDn81qJik3JMu,1
258,59,Rinky Dink,"Dave ""Baby"" Cortez",None,1962,4oy4gZOLCTwMh2FjNo5RQJ,26
259,60,Moon River,Henry Mancini,None,1962,5iGleL7HpEThuuYQ3us2jh,65
260,61,Ahab the Arab,Ray Stevens,None,1962,792qsDAf2ScTLCVjXS6HwB,35
261,62,Things,Bobby Darin,None,1962,7EME8xI4YLbUUT8qVKgBoR,44
262,63,(The Man Who Shot) Liberty Valance,Gene Pitney,None,1962,2ZHxl0iAc5mwJFX6Y5TvRU,44
263,64,You Belong to Me,The Duprees,None,1962,1bgKnEPujoiQzz0pc6gdt7,43
264,65,Dream Baby (How Long Must I Dream),Roy Orbison,None,1962,2brxFq9YHrI4v6RGrocn5X,44
265,66,Snap Your Fingers,Joe Henderson,None,1962,1oYef47TdXsf8ssv8U1yzb,11
266,67,Lovers Who Wander,Dion,None,1962,3ApktgPHkNDBWaZCWvOKjK,43
267,68,Let's Dance,Chris Montez,None,1962,2Qm5DrmotzWvqNM3JlcQYo,53
268,69,Cindy's Birthday,Johnny Crawford,None,1962,3Id8znxIUtTYNhZsak8Unb,29
269,70,You Beat Me to the Punch,Mary Wells,None,1962,4Sz8zFchpHQVQVqVyGz5Jb,52
270,71,You'll Lose a Good Thing,Barbara Lynn,None,1962,5CEREcGR5WaLt40YzTQ62e,53
271,72,Uptown,The Crystals,None,1962,37T6DBXi46eyd9xlQnUsUX,25
272,73,Everybody Loves Me But You,Brenda Lee,None,1962,33aC0VE93PEf6dAqYOobRN,33
273,74,Patches,Dickey Lee,None,1962,4jmLzvN8QG9V7C06REIMpf,27
274,75,Venus in Blue Jeans,Jimmy Clanton,None,1962,4YVn6eoXNhmJjzlsdxhqc6,29
275,76,Love Me Warm and Tender,Paul Anka,None,1962,2gpLU5dhDI62Oo5I3kzJTZ,32
