,rank,title,artist,other artists,year,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
69,70,So Sad,The Everly Brothers,None,1960,1Eo6eH8Yppywb6nkWDhB1b,32,0.477,0.196,4,-15.689,1,0.0299,0.655,0,0.172,0.405,102.363,156.573,4
70,71,That's All You Gotta Do,Brenda Lee,None,1960,1aTHBOr0V8XnbgHSRPyJtg,30,0.405,0.57,1,-7.919,1,0.042,0.43,5.09E-06,0.238,0.956,195.855,148.973,4
71,72,Walking to New Orleans,Fats Domino,None,1960,5I3hQNKjCwalENrab1SBtt,49,0.606,0.344,1,-9.944,1,0.0403,0.782,0,0.132,0.517,80.829,121.213,4
72,73,Among My Souvenirs,Connie Francis,None,1960,1tM2BQzEMJ5f9siQ9ZjM6P,33,0.486,0.464,9,-6.236,1,0.0266,0.404,7.78E-06,0.184,0.417,107.991,151.28,3
73,74,Swingin' School,Bobby Rydell,None,1960,2V0U78Xx4KY843bJbuq586,19,0.524,0.762,5,-5.473,1,0.0329,0.64,1.31E-06,0.0956,0.969,150.56,134,3
74,75,A Rockin' Good Way (To Mess Around and Fall in Love),Dinah Washington,Brook Benton,1960,4ydSzWwxqtNdP4VPfQe8bf,45,0.788,0.52,3,-10.837,1,0.0528,0.845,2.94E-05,0.178,0.96,130.224,148.227,4
75,76,Stairway to Heaven,Neil Sedaka,None,1960,2bHXXAgNA9MMvHE2e6Dgay,35,0.515,0.874,5,-4.408,1,0.0423,0.801,0,0.112,0.926,127.039,162.64,4
76,77,My Home Town,Paul Anka,None,1960,75wzEkDy6NnSj692dA99ip,32,0.79,0.514,11,-10.743,0,0.0362,0.223,0,0.14,0.962,117.022,126.293,4
77,78,Georgia on My Mind,Ray Charles,None,1960,47mA6f44zxLtdATOoY7GjN,53,0.138,0.399,7,-8.756,1,0.0311,0.782,3.65E-06,0.188,0.296,179.93,217.415,4
78,79,Cherry Pie,Skip,Flip,1960,3ManMR2GV4W6xD9KQnDZHe,18,0.499,0.254,10,-16.861,0,0.0392,0.629,6.81E-06,0.0877,0.492,86.029,140.382,4
